age,height_cm,weight_kg,work_rate_att,overall
32,186.0,81.0,High,71
23,180.0,75.0,Medium,71
22,180.0,70.0,Medium,71
33,194.0,92.0,Low,71
33,175.0,75.0,Medium,71
25,182.0,76.0,High,71
23,191.0,82.0,Low,71
22,184.0,76.0,High,71
20,172.0,68.0,High,71
33,180.0,73.0,Low,71
22,173.0,57.0,High,71
33,188.0,83.0,Medium,71
31,183.0,73.0,High,71
34,176.0,72.0,Low,71
24,183.0,78.0,Medium,71
35,170.0,73.0,Medium,71
33,178.0,69.0,High,71
27,192.0,81.0,High,71
30,178.0,75.0,Medium,71
26,174.0,69.0,Medium,71
29,191.0,87.0,Medium,71
25,174.0,72.0,High,71
28,186.0,83.0,Medium,71
33,186.0,78.0,High,71
25,186.0,73.0,High,71
26,175.0,68.0,High,71
29,175.0,70.0,Medium,71
30,184.0,71.0,Medium,71
25,176.0,74.0,Medium,71
24,177.0,72.0,High,71
22,184.0,84.0,Medium,71
19,190.0,80.0,Medium,71
33,188.0,85.0,Medium,71
25,180.0,76.0,High,71
33,181.0,73.0,Medium,71
29,179.0,79.0,Medium,71
27,191.0,83.0,Medium,71
21,188.0,79.0,High,71
26,175.0,72.0,Medium,71
22,178.0,72.0,High,71
24,182.0,72.0,High,71
30,185.0,75.0,High,71
28,185.0,80.0,Medium,71
31,187.0,80.0,Medium,71
24,188.0,70.0,High,71
22,181.0,76.0,High,71
24,186.0,78.0,Medium,71
25,174.0,70.0,Medium,71
20,178.0,63.0,Medium,71
34,180.0,70.0,Medium,71
28,180.0,72.0,High,71
24,182.0,72.0,Low,71
27,187.0,83.0,Medium,71
28,171.0,74.0,High,71
24,186.0,78.0,Medium,71
23,183.0,79.0,Medium,71
30,175.0,63.0,High,71
31,176.0,74.0,High,71
23,181.0,84.0,High,71
26,186.0,77.0,High,71
18,185.0,83.0,Medium,71
30,176.0,65.0,Medium,71
24,185.0,73.0,Medium,71
24,191.0,91.0,Medium,71
27,180.0,75.0,Medium,71
28,165.0,62.0,High,71
31,175.0,71.0,High,71
27,180.0,71.0,High,71
24,178.0,77.0,Medium,71
29,163.0,63.0,Medium,71
21,194.0,84.0,Medium,71
31,177.0,73.0,High,71
31,176.0,71.0,Medium,71
29,179.0,75.0,High,71
33,173.0,65.0,High,71
29,175.0,73.0,Medium,71
26,172.0,65.0,High,71
26,175.0,71.0,Medium,71
23,185.0,79.0,High,71
33,195.0,91.0,Medium,71
21,185.0,76.0,Medium,71
29,193.0,88.0,Medium,71
32,185.0,72.0,Medium,71
23,187.0,85.0,High,71
24,178.0,73.0,High,71
23,187.0,74.0,Medium,71
22,186.0,79.0,Medium,71
26,180.0,75.0,Medium,71
32,192.0,84.0,Low,71
25,184.0,64.0,High,71
30,180.0,76.0,Low,71
31,183.0,80.0,Medium,71
30,193.0,76.0,Medium,71
26,174.0,68.0,Medium,71
26,182.0,76.0,High,71
22,184.0,80.0,Medium,71
31,197.0,92.0,Medium,71
27,193.0,80.0,Medium,71
30,187.0,77.0,Medium,71
23,183.0,77.0,High,71
31,185.0,72.0,High,71
23,198.0,93.0,Medium,71
24,196.0,77.0,Medium,71
31,185.0,78.0,Medium,71
28,175.0,71.0,High,71
22,167.0,66.0,High,71
33,181.0,70.0,Medium,71
32,189.0,93.0,Low,71
25,172.0,65.0,High,71
30,184.0,80.0,Medium,71
35,183.0,78.0,Medium,71
24,185.0,74.0,High,71
37,185.0,84.0,Medium,71
33,178.0,77.0,Medium,71
27,182.0,78.0,High,71
33,187.0,76.0,Medium,71
23,193.0,88.0,Medium,71
32,179.0,74.0,High,71
35,178.0,70.0,High,71
24,173.0,68.0,Medium,71
25,180.0,75.0,Medium,71
27,193.0,85.0,Low,71
25,183.0,89.0,High,71
23,185.0,75.0,Medium,71
28,187.0,86.0,Medium,71
24,193.0,82.0,Medium,71
30,180.0,75.0,Medium,71
28,178.0,82.0,Low,71
28,185.0,83.0,Medium,71
25,175.0,69.0,Medium,71
21,178.0,75.0,Medium,71
26,176.0,74.0,Medium,71
24,182.0,81.0,High,71
24,179.0,68.0,High,71
18,179.0,68.0,High,71
25,179.0,74.0,High,71
29,171.0,68.0,High,71
23,175.0,73.0,Medium,71
33,181.0,76.0,Medium,71
18,181.0,74.0,Medium,71
29,176.0,77.0,High,71
28,171.0,67.0,Medium,71
23,188.0,72.0,Medium,71
19,188.0,74.0,Medium,71
23,188.0,89.0,Low,71
20,182.0,80.0,High,71
34,183.0,75.0,High,71
29,181.0,75.0,High,71
28,172.0,70.0,Medium,71
29,192.0,82.0,Medium,71
26,173.0,71.0,High,71
32,173.0,73.0,High,71
22,175.0,70.0,Medium,71
25,189.0,73.0,Medium,71
33,178.0,70.0,Medium,71
32,167.0,64.0,Medium,71
31,182.0,81.0,Medium,71
29,180.0,80.0,Medium,71
30,190.0,85.0,High,71
24,187.0,81.0,Medium,71
29,172.0,76.0,Medium,71
25,186.0,77.0,Medium,71
21,180.0,73.0,High,71
27,185.0,77.0,Low,71
35,181.0,80.0,Medium,71
29,188.0,82.0,Medium,71
26,176.0,70.0,Medium,71
31,189.0,91.0,Medium,71
25,175.0,70.0,Medium,71
28,187.0,76.0,High,71
34,192.0,93.0,Medium,71
30,182.0,92.0,Medium,71
23,191.0,81.0,Medium,71
33,175.0,71.0,Medium,71
27,171.0,76.0,Medium,71
25,183.0,72.0,Medium,71
23,174.0,69.0,High,71
27,182.0,75.0,Medium,71
25,178.0,65.0,High,71
23,183.0,73.0,Medium,71
33,182.0,76.0,High,71
30,178.0,68.0,Medium,71
26,184.0,69.0,Low,71
35,193.0,90.0,Medium,71
19,172.0,68.0,Medium,71
29,182.0,76.0,Medium,71
26,178.0,67.0,Low,71
31,183.0,77.0,Medium,71
27,182.0,71.0,High,71
25,188.0,77.0,Medium,71
33,186.0,82.0,Medium,71
32,184.0,85.0,Medium,71
26,170.0,70.0,High,71
25,172.0,66.0,High,71
25,178.0,69.0,High,71
30,173.0,70.0,High,71
23,181.0,70.0,Medium,71
25,170.0,72.0,High,71
28,180.0,68.0,High,71
21,175.0,67.0,Medium,71
19,178.0,68.0,High,71
31,182.0,76.0,High,71
28,185.0,83.0,Medium,71
28,180.0,77.0,High,71
37,176.0,80.0,Medium,71
34,182.0,77.0,Medium,71
23,187.0,80.0,Medium,71
31,190.0,83.0,Medium,71
26,193.0,81.0,Medium,71
26,191.0,90.0,Low,71
24,181.0,73.0,Medium,71
25,179.0,79.0,Medium,71
27,171.0,69.0,High,71
28,184.0,74.0,Medium,71
33,183.0,80.0,Medium,71
26,187.0,80.0,Medium,71
24,177.0,76.0,Medium,71
27,194.0,81.0,Medium,71
30,180.0,77.0,High,71
30,195.0,73.0,Medium,71
33,194.0,89.0,Medium,71
28,180.0,72.0,Medium,71
31,185.0,78.0,Medium,71
36,191.0,80.0,Low,71
23,166.0,64.0,Medium,71
22,182.0,75.0,High,71
25,174.0,68.0,Low,71
26,187.0,80.0,High,71
27,191.0,86.0,Medium,71
24,175.0,70.0,High,71
30,187.0,76.0,High,71
21,194.0,90.0,High,71
32,175.0,72.0,Medium,71
37,175.0,64.0,Medium,71
21,188.0,70.0,Medium,71
33,168.0,63.0,High,71
25,175.0,70.0,Medium,71
31,185.0,81.0,Medium,71
30,189.0,81.0,High,71
24,180.0,74.0,Medium,71
27,185.0,77.0,High,71
32,187.0,85.0,Medium,71
30,170.0,67.0,High,71
24,179.0,76.0,Medium,71
27,182.0,67.0,Medium,71
28,188.0,83.0,High,71
30,186.0,78.0,Medium,71
35,183.0,76.0,Medium,71
25,191.0,73.0,Medium,71
22,177.0,74.0,High,71
31,187.0,88.0,Medium,71
36,174.0,72.0,Medium,71
28,184.0,76.0,High,71
25,170.0,69.0,Medium,71
25,190.0,85.0,High,71
22,172.0,67.0,High,71
29,170.0,70.0,Medium,71
24,176.0,62.0,Medium,71
27,170.0,64.0,Medium,71
24,182.0,70.0,High,71
34,180.0,76.0,Medium,71
20,188.0,87.0,Medium,71
25,180.0,83.0,Medium,71
27,182.0,71.0,High,71
32,190.0,88.0,Medium,71
23,194.0,96.0,Medium,71
25,188.0,74.0,Medium,71
21,185.0,76.0,Medium,71
26,185.0,81.0,Medium,71
31,191.0,83.0,Medium,71
28,188.0,76.0,Medium,71
20,182.0,70.0,Medium,71
32,183.0,78.0,Medium,71
20,176.0,69.0,Medium,71
34,187.0,85.0,Medium,71
31,178.0,77.0,Medium,71
24,187.0,77.0,Medium,71
26,172.0,76.0,Medium,71
31,186.0,87.0,Medium,71
26,201.0,95.0,Low,71
26,180.0,68.0,Medium,71
25,170.0,68.0,High,71
29,192.0,85.0,Low,71
33,188.0,83.0,Medium,71
27,183.0,86.0,High,71
24,167.0,72.0,High,71
31,185.0,80.0,Medium,71
29,184.0,81.0,Medium,71
28,185.0,80.0,High,71
29,191.0,87.0,Medium,71
24,190.0,83.0,Low,71
29,173.0,63.0,High,71
27,175.0,64.0,High,71
31,190.0,94.0,Medium,71
31,185.0,83.0,Low,71
34,169.0,66.0,Medium,71
30,186.0,78.0,High,71
19,193.0,93.0,High,71
44,172.0,75.0,Medium,71
28,183.0,78.0,Medium,71
23,173.0,70.0,Medium,71
27,173.0,68.0,Medium,71
25,188.0,79.0,High,71
29,185.0,81.0,Medium,71
25,182.0,71.0,High,71
29,175.0,70.0,Medium,71
34,178.0,80.0,Low,71
26,185.0,78.0,Medium,71
33,165.0,62.0,High,71
34,172.0,73.0,Medium,71
22,191.0,75.0,Medium,70
23,179.0,75.0,Medium,70
22,183.0,78.0,Medium,70
29,194.0,85.0,Medium,70
20,182.0,70.0,Medium,70
28,175.0,67.0,Medium,70
29,180.0,80.0,Medium,70
30,186.0,80.0,Medium,70
31,176.0,75.0,Medium,70
29,174.0,74.0,Medium,70
29,180.0,80.0,High,70
34,183.0,81.0,Medium,70
32,190.0,82.0,Low,70
22,178.0,77.0,Medium,70
19,187.0,80.0,High,70
29,186.0,80.0,Medium,70
21,171.0,61.0,High,70
30,189.0,82.0,Low,70
26,194.0,87.0,Low,70
23,187.0,85.0,Medium,70
22,179.0,74.0,High,70
23,174.0,64.0,Medium,70
25,170.0,69.0,High,70
33,177.0,77.0,Low,70
32,191.0,90.0,Medium,70
36,172.0,69.0,High,70
25,186.0,72.0,High,70
24,180.0,65.0,High,70
31,186.0,80.0,Medium,70
25,182.0,81.0,High,70
25,175.0,72.0,Medium,70
23,175.0,70.0,Medium,70
33,183.0,75.0,High,70
28,184.0,74.0,Medium,70
26,180.0,75.0,High,70
26,180.0,72.0,Medium,70
24,188.0,75.0,Medium,70
23,187.0,77.0,Medium,70
23,175.0,75.0,Medium,70
25,170.0,67.0,Medium,70
29,194.0,92.0,Medium,70
25,181.0,76.0,High,70
24,185.0,73.0,High,70
32,178.0,63.0,Medium,70
20,180.0,79.0,Medium,70
21,187.0,72.0,High,70
26,173.0,72.0,Medium,70
28,187.0,87.0,Medium,70
32,188.0,79.0,Medium,70
29,194.0,88.0,Medium,70
27,182.0,73.0,Medium,70
39,190.0,82.0,Medium,70
31,174.0,75.0,Medium,70
23,167.0,65.0,Medium,70
29,179.0,79.0,High,70
33,186.0,78.0,High,70
29,180.0,76.0,High,70
28,188.0,85.0,Medium,70
24,181.0,79.0,Medium,70
23,180.0,75.0,Medium,70
27,187.0,87.0,Low,70
20,177.0,78.0,High,70
29,188.0,85.0,Medium,70
21,180.0,72.0,Medium,70
29,179.0,76.0,Medium,70
19,195.0,91.0,Medium,70
33,185.0,80.0,Low,70
36,178.0,65.0,Medium,70
37,189.0,86.0,Medium,70
25,187.0,76.0,Medium,70
27,179.0,79.0,Medium,70
26,179.0,71.0,Medium,70
23,174.0,72.0,High,70
25,180.0,65.0,Medium,70
26,186.0,77.0,Medium,70
27,177.0,68.0,Medium,70
25,182.0,75.0,Medium,70
24,171.0,74.0,High,70
22,183.0,75.0,Low,70
35,191.0,90.0,Low,70
34,188.0,79.0,Medium,70
26,180.0,73.0,Medium,70
31,176.0,74.0,High,70
27,184.0,80.0,Medium,70
30,194.0,88.0,Medium,70
30,182.0,73.0,Medium,70
27,180.0,76.0,Medium,70
34,194.0,84.0,Medium,70
24,188.0,85.0,Medium,70
24,186.0,78.0,Medium,70
21,190.0,90.0,Medium,70
26,175.0,63.0,High,70
27,183.0,80.0,High,70
24,189.0,77.0,Medium,70
29,183.0,75.0,High,70
28,186.0,80.0,High,70
32,170.0,65.0,High,70
23,191.0,77.0,Medium,70
33,186.0,77.0,Medium,70
26,185.0,85.0,Medium,70
26,175.0,75.0,Medium,70
25,190.0,80.0,Medium,70
23,185.0,77.0,High,70
21,169.0,68.0,Medium,70
28,193.0,82.0,Medium,70
29,176.0,69.0,High,70
33,182.0,77.0,Medium,70
19,190.0,82.0,Medium,70
27,178.0,70.0,Medium,70
27,174.0,69.0,Medium,70
22,182.0,75.0,High,70
20,180.0,72.0,High,70
29,178.0,73.0,High,70
29,183.0,75.0,Medium,70
21,181.0,74.0,Medium,70
35,182.0,75.0,Medium,70
19,182.0,64.0,Medium,70
29,178.0,73.0,Medium,70
21,187.0,84.0,Low,70
30,191.0,84.0,Medium,70
29,174.0,78.0,Medium,70
32,186.0,81.0,Medium,70
27,183.0,77.0,Medium,70
24,183.0,80.0,Low,70
23,188.0,84.0,Medium,70
35,183.0,81.0,Medium,70
30,184.0,78.0,Medium,70
31,196.0,88.0,Medium,70
29,178.0,75.0,Medium,70
21,182.0,83.0,High,70
27,191.0,91.0,High,70
24,181.0,74.0,High,70
29,175.0,81.0,Medium,70
22,188.0,79.0,High,70
29,175.0,73.0,High,70
34,189.0,87.0,Medium,70
28,170.0,67.0,High,70
26,176.0,67.0,Medium,70
26,188.0,80.0,Medium,70
23,193.0,82.0,Medium,70
27,181.0,76.0,Medium,70
23,189.0,78.0,Medium,70
21,174.0,70.0,High,70
36,178.0,77.0,Medium,70
25,188.0,87.0,Medium,70
25,184.0,80.0,Medium,70
25,181.0,81.0,Medium,70
31,178.0,79.0,High,70
25,168.0,64.0,Medium,70
28,175.0,63.0,Medium,70
29,194.0,90.0,Medium,70
25,175.0,72.0,Medium,70
33,185.0,81.0,Medium,70
27,182.0,74.0,High,70
29,184.0,82.0,Medium,70
26,186.0,81.0,High,70
26,189.0,89.0,Low,70
30,190.0,85.0,High,70
28,179.0,70.0,High,70
33,182.0,75.0,Medium,70
25,178.0,78.0,High,70
32,184.0,83.0,High,70
26,175.0,73.0,Medium,70
28,177.0,71.0,Medium,70
25,189.0,83.0,Medium,70
26,172.0,68.0,High,70
31,183.0,81.0,Medium,70
33,178.0,76.0,High,70
29,185.0,71.0,Medium,70
38,190.0,80.0,Medium,70
34,189.0,88.0,Medium,70
23,180.0,70.0,High,70
23,186.0,80.0,Medium,70
22,188.0,83.0,Medium,70
25,179.0,74.0,Medium,70
25,186.0,77.0,High,70
30,178.0,69.0,High,70
23,187.0,80.0,Medium,70
24,176.0,76.0,High,70
23,186.0,72.0,Medium,70
32,184.0,84.0,Medium,70
26,183.0,81.0,High,70
21,182.0,73.0,Medium,70
23,176.0,64.0,High,70
29,175.0,71.0,Medium,70
31,180.0,70.0,High,70
26,185.0,79.0,Medium,70
25,182.0,84.0,Low,70
26,190.0,88.0,Medium,70
26,188.0,74.0,High,70
31,169.0,69.0,High,70
21,168.0,64.0,Medium,70
27,179.0,80.0,High,70
27,179.0,82.0,Medium,70
29,184.0,75.0,Medium,70
25,182.0,84.0,Medium,70
21,171.0,69.0,Medium,70
26,180.0,77.0,High,70
24,189.0,85.0,Medium,70
22,185.0,80.0,High,70
33,191.0,87.0,Medium,70
32,183.0,78.0,Medium,70
26,190.0,80.0,Medium,70
28,194.0,95.0,Medium,70
28,182.0,78.0,Medium,70
26,188.0,83.0,Medium,70
22,167.0,64.0,Medium,70
24,193.0,85.0,Medium,70
23,190.0,85.0,High,70
22,188.0,80.0,Medium,70
30,187.0,76.0,Medium,70
34,191.0,86.0,Medium,70
27,185.0,79.0,High,70
26,184.0,81.0,Medium,70
26,192.0,91.0,Medium,70
32,175.0,75.0,Medium,70
30,193.0,86.0,Medium,70
26,182.0,75.0,High,70
30,167.0,62.0,High,70
28,185.0,76.0,Medium,70
21,186.0,76.0,Medium,70
34,187.0,83.0,Medium,70
34,188.0,81.0,Medium,70
26,164.0,55.0,Medium,70
28,190.0,88.0,High,70
23,185.0,80.0,Medium,70
24,178.0,73.0,High,70
25,183.0,74.0,Medium,70
29,168.0,62.0,Medium,70
25,186.0,82.0,Medium,70
26,183.0,78.0,Medium,70
25,192.0,76.0,Medium,70
24,177.0,74.0,Medium,70
31,185.0,72.0,Medium,70
30,190.0,82.0,Medium,70
28,175.0,71.0,Medium,70
33,181.0,77.0,Medium,70
25,188.0,88.0,Medium,70
22,177.0,76.0,Medium,70
22,170.0,64.0,Medium,70
23,185.0,80.0,Medium,70
30,182.0,71.0,Medium,70
27,175.0,68.0,High,70
26,183.0,70.0,High,70
27,192.0,89.0,Medium,70
29,194.0,85.0,Medium,70
21,177.0,68.0,Medium,70
24,169.0,73.0,High,70
22,187.0,80.0,Medium,70
23,176.0,76.0,Medium,70
27,163.0,58.0,Medium,70
30,188.0,80.0,Low,70
23,173.0,71.0,Medium,70
33,169.0,69.0,Medium,70
25,178.0,71.0,Medium,70
21,179.0,70.0,High,70
26,173.0,65.0,High,70
21,177.0,70.0,High,70
33,180.0,74.0,Medium,70
19,169.0,64.0,High,70
26,178.0,66.0,High,70
23,173.0,73.0,Medium,70
26,182.0,79.0,Medium,70
23,198.0,88.0,Medium,70
29,175.0,70.0,Medium,70
31,168.0,58.0,High,70
31,174.0,70.0,High,70
32,183.0,80.0,Medium,70
20,188.0,77.0,Medium,70
25,180.0,70.0,Medium,70
29,182.0,82.0,Medium,70
31,183.0,74.0,Medium,70
27,176.0,76.0,Medium,70
22,183.0,70.0,High,70
32,178.0,76.0,High,70
29,188.0,85.0,Medium,70
24,182.0,75.0,High,70
38,169.0,70.0,Low,70
23,178.0,70.0,Medium,70
30,175.0,74.0,High,70
27,183.0,75.0,High,70
23,176.0,74.0,Medium,70
29,184.0,78.0,Medium,70
19,180.0,70.0,High,70
30,180.0,71.0,High,70
23,177.0,66.0,High,70
25,171.0,65.0,Medium,70
32,174.0,72.0,Medium,70
24,180.0,74.0,High,70
21,187.0,77.0,Medium,70
35,182.0,72.0,Medium,70
29,193.0,92.0,Medium,70
25,176.0,71.0,Medium,70
32,183.0,80.0,Medium,70
28,190.0,80.0,Medium,70
34,179.0,72.0,Medium,70
25,178.0,77.0,High,70
22,168.0,70.0,High,70
28,185.0,77.0,High,70
25,178.0,71.0,High,70
23,184.0,78.0,Medium,70
26,191.0,83.0,Medium,70
28,183.0,86.0,Medium,70
33,183.0,78.0,High,70
27,171.0,72.0,Medium,70
29,181.0,71.0,High,70
31,178.0,81.0,Medium,70
30,181.0,77.0,High,70
38,178.0,70.0,High,70
33,172.0,70.0,High,70
26,180.0,70.0,Medium,70
33,187.0,78.0,Low,70
22,176.0,66.0,High,70
19,182.0,75.0,Medium,70
30,178.0,72.0,High,70
24,177.0,75.0,Low,70
29,184.0,82.0,Medium,70
25,181.0,72.0,High,70
25,182.0,76.0,Medium,70
26,170.0,59.0,High,70
20,180.0,68.0,High,70
33,177.0,75.0,High,70
20,188.0,74.0,High,70
20,178.0,77.0,High,70
28,188.0,81.0,Medium,70
32,179.0,69.0,Medium,70
25,175.0,72.0,Medium,70
22,180.0,75.0,High,70
20,182.0,72.0,High,70
34,185.0,80.0,Medium,70
28,191.0,81.0,Medium,70
28,178.0,80.0,Medium,70
31,178.0,66.0,High,70
26,187.0,82.0,Low,70
33,176.0,78.0,Medium,70
29,180.0,72.0,High,70
30,184.0,77.0,Medium,70
28,181.0,76.0,High,70
28,184.0,75.0,Medium,70
21,183.0,78.0,Medium,70
31,181.0,77.0,High,70
32,186.0,79.0,Medium,70
23,174.0,64.0,Medium,70
25,177.0,67.0,High,70
24,181.0,74.0,Medium,70
26,182.0,72.0,High,70
31,175.0,68.0,Medium,70
26,180.0,70.0,Medium,70
24,170.0,65.0,High,70
24,175.0,73.0,Medium,70
19,168.0,65.0,Medium,70
29,187.0,73.0,Low,70
28,176.0,72.0,High,70
26,180.0,72.0,High,70
27,182.0,76.0,Medium,70
29,178.0,70.0,High,70
27,180.0,77.0,High,70
24,180.0,75.0,High,70
26,171.0,68.0,Medium,70
29,170.0,66.0,High,70
22,172.0,72.0,High,70
28,185.0,83.0,High,70
28,181.0,82.0,Medium,70
26,185.0,78.0,Medium,70
25,173.0,67.0,Medium,70
23,186.0,82.0,High,70
23,177.0,73.0,Medium,70
28,183.0,80.0,Medium,70
23,184.0,79.0,Medium,70
27,184.0,73.0,High,70
26,178.0,71.0,Medium,70
28,178.0,76.0,High,70
27,174.0,69.0,Medium,70
27,171.0,70.0,Medium,70
26,175.0,71.0,High,70
29,191.0,77.0,Low,70
22,185.0,78.0,High,70
25,183.0,74.0,Medium,70
27,197.0,92.0,Medium,70
31,184.0,80.0,Medium,70
22,180.0,64.0,Medium,70
32,185.0,70.0,Medium,70
33,172.0,67.0,Medium,70
23,186.0,72.0,Medium,70
26,176.0,68.0,Medium,70
31,182.0,76.0,Low,70
23,169.0,62.0,Medium,70
22,173.0,68.0,High,70
22,184.0,76.0,Medium,70
32,189.0,80.0,Medium,70
25,191.0,82.0,Medium,70
25,191.0,85.0,Medium,70
30,180.0,76.0,Medium,70
24,175.0,70.0,Medium,70
30,180.0,79.0,Medium,70
27,170.0,75.0,High,70
27,188.0,93.0,Medium,70
21,185.0,79.0,Medium,70
27,175.0,65.0,High,70
27,185.0,81.0,Low,70
28,193.0,91.0,Low,70
18,175.0,62.0,Medium,70
33,179.0,72.0,Medium,70
22,178.0,72.0,Medium,70
25,174.0,66.0,High,70
29,186.0,79.0,Medium,70
25,187.0,77.0,High,70
35,185.0,81.0,Medium,70
21,175.0,68.0,Medium,70
26,172.0,70.0,Medium,70
28,182.0,70.0,Medium,70
34,162.0,56.0,High,70
27,166.0,56.0,High,70
26,196.0,89.0,Medium,70
24,187.0,82.0,Medium,70
29,175.0,70.0,Medium,70
30,185.0,86.0,Medium,70
29,180.0,75.0,Medium,70
27,180.0,62.0,High,70
21,180.0,80.0,High,70
32,181.0,75.0,Medium,70
29,175.0,73.0,High,70
29,180.0,73.0,Medium,70
25,182.0,76.0,Medium,70
20,172.0,61.0,High,70
26,190.0,82.0,Medium,70
26,179.0,78.0,High,70
26,183.0,74.0,High,70
30,195.0,92.0,Medium,70
22,182.0,82.0,High,70
21,184.0,79.0,Medium,70
31,181.0,76.0,Medium,70
31,178.0,79.0,High,70
37,182.0,73.0,Medium,70
22,164.0,60.0,High,70
29,181.0,79.0,Medium,70
27,178.0,74.0,High,70
23,185.0,78.0,Medium,70
28,171.0,73.0,Medium,70
22,180.0,68.0,Medium,70
30,185.0,77.0,Low,70
24,191.0,88.0,Medium,70
26,184.0,80.0,Low,70
34,180.0,77.0,High,70
34,183.0,80.0,High,70
30,184.0,75.0,High,70
25,182.0,79.0,Medium,70
29,182.0,78.0,Medium,70
35,172.0,69.0,Medium,70
29,190.0,92.0,Medium,70
27,183.0,75.0,High,70
27,161.0,63.0,High,70
27,170.0,73.0,Medium,70
28,188.0,76.0,Medium,70
32,194.0,88.0,Medium,70
44,188.0,87.0,Medium,70
27,182.0,80.0,High,70
25,196.0,90.0,Medium,70
25,189.0,85.0,Medium,70
28,173.0,72.0,Medium,70
22,174.0,69.0,High,70
29,183.0,75.0,Medium,70
26,190.0,81.0,Medium,70
29,182.0,77.0,Medium,70
29,176.0,72.0,High,70
20,182.0,78.0,Medium,70
23,183.0,65.0,Medium,70
27,170.0,68.0,High,70
23,172.0,65.0,Medium,70
21,175.0,65.0,High,70
26,181.0,76.0,High,70
21,187.0,78.0,Medium,70
29,181.0,71.0,High,70
19,167.0,63.0,Medium,70
28,182.0,73.0,High,70
25,180.0,72.0,High,70
21,189.0,80.0,High,70
30,182.0,72.0,High,70
28,193.0,88.0,Medium,70
29,189.0,79.0,Low,70
35,181.0,78.0,Medium,70
20,190.0,79.0,Medium,70
29,173.0,71.0,High,70
26,180.0,77.0,Medium,70
31,175.0,70.0,Medium,70
21,170.0,69.0,Medium,70
19,187.0,83.0,Medium,70
21,181.0,68.0,Medium,70
32,168.0,71.0,Medium,70
26,182.0,76.0,Medium,70
26,181.0,80.0,High,70
24,197.0,95.0,Medium,70
31,191.0,100.0,Medium,70
29,168.0,72.0,High,70
29,184.0,81.0,Medium,70
33,183.0,82.0,Medium,70
24,191.0,94.0,Medium,70
31,179.0,73.0,Medium,70
26,174.0,69.0,Medium,70
26,191.0,81.0,Medium,70
25,168.0,70.0,Medium,70
29,181.0,81.0,High,70
25,175.0,68.0,Low,70
27,180.0,75.0,Medium,70
28,183.0,75.0,High,70
33,186.0,79.0,Medium,70
28,186.0,79.0,Medium,70
22,188.0,70.0,High,70
26,180.0,75.0,Medium,70
31,179.0,71.0,Medium,70
20,175.0,70.0,Medium,70
37,183.0,78.0,Medium,70
27,182.0,68.0,Medium,70
28,191.0,92.0,Medium,70
21,193.0,75.0,High,70
26,190.0,93.0,Medium,70
30,178.0,79.0,High,70
27,185.0,78.0,Medium,70
28,182.0,70.0,Medium,70
29,183.0,86.0,Medium,70
23,188.0,75.0,High,70
38,173.0,72.0,Medium,70
24,188.0,81.0,Low,70
27,185.0,78.0,High,70
25,180.0,75.0,High,70
37,187.0,80.0,Medium,70
27,191.0,83.0,Medium,70
33,177.0,73.0,High,70
21,185.0,85.0,Medium,70
27,174.0,61.0,Medium,70
28,185.0,80.0,Medium,70
33,172.0,67.0,Medium,70
31,183.0,80.0,Medium,70
25,183.0,72.0,High,70
21,178.0,75.0,Medium,70
19,176.0,78.0,High,70
26,188.0,80.0,Medium,70
25,172.0,69.0,High,70
29,179.0,79.0,Low,70
26,182.0,71.0,Medium,70
27,178.0,75.0,High,70
29,187.0,76.0,High,70
31,191.0,79.0,Medium,70
37,178.0,71.0,High,70
27,174.0,68.0,Medium,70
30,191.0,86.0,Medium,70
24,189.0,78.0,Medium,70
33,181.0,79.0,Medium,70
35,186.0,69.0,High,70
36,190.0,89.0,Low,70
22,184.0,84.0,Medium,70
18,170.0,74.0,Medium,70
20,183.0,77.0,Medium,70
24,191.0,85.0,Medium,70
29,170.0,63.0,High,70
26,184.0,71.0,Medium,70
23,172.0,62.0,High,70
29,190.0,83.0,Medium,70
23,172.0,65.0,High,70
21,187.0,90.0,Medium,70
29,180.0,75.0,Medium,70
26,180.0,74.0,Medium,70
28,190.0,78.0,Medium,70
27,170.0,65.0,Low,70
26,190.0,86.0,Medium,70
22,182.0,69.0,High,70
32,172.0,69.0,Medium,70
29,177.0,73.0,High,70
33,183.0,80.0,Medium,70
26,184.0,78.0,High,70
22,188.0,77.0,Medium,70
38,183.0,73.0,Medium,70
29,189.0,82.0,Medium,70
26,181.0,72.0,Medium,70
27,182.0,69.0,Medium,70
21,191.0,83.0,Medium,70
22,180.0,73.0,High,70
26,183.0,76.0,High,70
29,176.0,72.0,High,70
31,173.0,71.0,High,70
33,182.0,77.0,Medium,70
31,174.0,70.0,Medium,70
30,184.0,78.0,High,70
30,181.0,80.0,Medium,70
28,183.0,80.0,Medium,70
25,182.0,77.0,High,70
34,186.0,77.0,Medium,70
37,182.0,76.0,Medium,70
25,184.0,74.0,High,70
31,182.0,76.0,High,70
19,191.0,77.0,High,70
31,174.0,75.0,Medium,70
23,182.0,71.0,Medium,70
29,182.0,77.0,Medium,70
22,186.0,79.0,Medium,70
26,179.0,70.0,Medium,70
23,183.0,74.0,Medium,70
22,174.0,60.0,Medium,70
20,176.0,72.0,Medium,70
23,173.0,61.0,High,70
28,182.0,76.0,Medium,70
27,178.0,70.0,Medium,70
26,182.0,77.0,Medium,70
